09:04:16.152 /home/macfly/Git/contiki/tools/sky/serialdump-linux -b115200 /dev/ttyUSB0

09:04:16.646 Rime started with address 1.0

09:04:16.657 MAC 01:00:00:00:00:00:00:00 Ref ID: 3617

09:04:16.657 Contiki-2.6-2121-gdf2cdbb started. Node id is set to 1.

09:04:16.666 nullmac ContikiMAC, channel check rate 8 Hz, radio channel 26

09:04:16.666 Starting 'Net test'

09:19:43.921 RX 3.0 MSG 461 12345678901234567890123456789012345678901

09:19:45.796 RX 3.0 MSG 462 12345678901234567890123456789012345678901

09:19:48.546 RX 3.0 MSG 463 12345678901234567890123456789012345678901

09:19:50.921 RX 3.0 MSG 464 12345678901234567890123456789012345678901

09:19:52.796 RX 3.0 MSG 465 12345678901234567890123456789012345678901

09:19:55.046 RX 3.0 MSG 466 12345678901234567890123456789012345678901

09:19:57.671 RX 3.0 MSG 467 12345678901234567890123456789012345678901

09:19:59.546 RX 3.0 MSG 468 12345678901234567890123456789012345678901

09:20:02.296 RX 3.0 MSG 469 12345678901234567890123456789012345678901

09:20:03.921 RX 3.0 MSG 470 12345678901234567890123456789012345678901

09:20:09.546 RX 3.0 MSG 472 12345678901234567890123456789012345678901

09:20:11.296 RX 3.0 MSG 473 12345678901234567890123456789012345678901

09:20:12.546 RX 3.0 MSG 474 12345678901234567890123456789012345678901

09:20:15.296 RX 3.0 MSG 475 12345678901234567890123456789012345678901

09:20:17.921 RX 3.0 MSG 476 12345678901234567890123456789012345678901

